iter	Passed	Remaining
0	0	68
1	1	62
2	1	58
3	2	54
4	2	51
5	3	49
6	3	48
7	4	47
8	4	46
9	5	45
10	5	44
11	5	43
12	6	42
13	6	42
14	7	41
15	7	41
16	8	41
17	9	41
18	9	41
19	10	40
20	10	40
21	11	39
22	11	39
23	12	39
24	12	38
25	13	38
26	14	38
27	14	38
28	15	37
29	16	37
30	16	36
31	17	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	21	32
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	28
46	25	28
47	26	28
48	26	27
49	27	27
50	28	26
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	32	23
58	32	22
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	37	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	53	4
93	53	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
