iter	Passed	Remaining
0	0	901
1	1	776
2	2	730
3	2	703
4	3	701
5	4	759
6	5	737
7	5	722
8	6	710
9	7	699
10	7	695
11	8	688
12	8	681
13	9	677
14	10	673
15	10	665
16	11	659
17	12	656
18	12	652
19	13	650
20	13	648
21	14	646
22	15	642
23	15	644
24	16	642
25	17	640
26	17	639
27	18	637
28	18	634
29	19	633
30	20	631
31	20	630
32	21	629
33	22	627
34	22	626
35	23	624
36	23	622
37	24	620
38	25	619
39	25	617
40	26	615
41	27	617
42	27	615
43	28	615
44	28	613
45	29	611
46	30	610
47	30	609
48	31	610
49	32	611
50	32	612
51	33	610
52	34	609
53	34	608
54	35	607
55	36	607
56	36	606
57	37	605
58	37	604
59	38	603
60	39	602
61	39	601
62	40	603
63	41	602
64	41	602
65	42	601
66	43	601
67	43	601
68	44	601
69	45	601
70	46	602
71	46	602
72	47	602
73	48	601
74	48	600
75	49	599
76	49	598
77	50	597
78	51	596
79	51	595
80	52	594
81	53	593
82	53	589
83	53	588
84	54	587
85	55	586
86	55	585
87	56	585
88	57	584
89	57	584
90	58	583
91	59	584
92	59	584
93	60	582
94	61	582
95	61	582
96	62	581
97	63	580
98	63	579
99	64	578
100	64	576
101	65	575
102	65	574
103	66	573
104	67	571
105	67	570
106	68	569
107	68	568
108	69	567
109	70	566
110	70	565
111	71	564
112	71	564
113	72	563
114	73	563
115	73	562
116	74	560
117	74	559
118	75	559
119	76	557
120	76	557
121	77	555
122	77	554
123	78	553
124	78	552
125	79	552
126	80	550
127	80	550
128	81	549
129	81	548
130	82	547
131	83	546
132	83	545
133	84	544
134	84	544
135	85	543
136	86	542
137	86	542
138	87	541
139	88	540
140	88	539
141	89	537
142	89	537
143	90	536
144	90	536
145	91	535
146	92	534
147	92	534
148	93	533
149	94	532
150	94	532
151	95	532
152	96	531
153	96	531
154	97	530
155	97	529
156	98	529
157	99	528
158	99	527
159	101	532
160	102	533
161	103	533
162	103	533
163	104	532
164	105	532
165	105	531
166	106	530
167	106	529
168	107	528
169	108	528
170	108	527
171	109	526
172	109	525
173	110	524
174	111	524
175	111	523
176	112	522
177	112	521
178	113	520
179	114	523
180	115	523
181	116	523
182	117	522
183	117	521
184	118	520
185	118	519
186	119	519
187	120	518
188	120	518
189	121	517
190	122	516
191	122	516
192	123	515
193	123	514
194	124	513
195	124	512
196	125	511
197	126	510
198	126	510
199	127	509
200	127	508
201	128	507
202	129	506
203	129	506
204	130	505
205	130	504
206	131	504
207	132	503
208	132	502
209	133	502
210	134	501
211	134	500
212	135	500
213	136	499
214	136	498
215	137	498
216	137	497
217	138	496
218	139	496
219	139	495
220	140	494
221	140	494
222	141	493
223	142	492
224	142	491
225	143	490
226	143	490
227	144	489
228	145	488
229	145	487
230	146	487
231	146	486
232	147	486
233	148	485
234	148	484
235	149	483
236	150	483
237	150	482
238	151	481
239	151	480
240	152	480
241	152	479
242	153	478
243	154	477
244	154	477
245	155	476
246	156	475
247	156	474
248	157	474
249	157	473
250	158	472
251	158	471
252	159	470
253	160	470
254	160	469
255	161	469
256	162	468
257	162	467
258	163	467
259	163	466
260	164	465
261	165	464
262	165	464
263	166	463
264	166	462
265	167	462
266	168	461
267	168	460
268	169	459
269	169	459
270	170	458
271	171	457
272	171	457
273	172	456
274	172	456
275	173	455
276	174	454
277	174	453
278	175	453
279	176	452
280	176	452
281	177	451
282	178	451
283	178	450
284	179	449
285	179	449
286	180	448
287	181	447
288	181	447
289	182	446
290	182	445
291	183	444
292	184	444
293	184	443
294	185	442
295	185	442
296	186	442
297	187	441
298	187	440
299	188	439
300	189	439
301	189	438
302	190	437
303	191	437
304	191	436
305	192	436
306	192	435
307	193	435
308	194	434
309	194	433
310	195	432
311	195	432
312	196	431
313	197	430
314	197	429
315	198	429
316	198	428
317	199	427
318	200	427
319	200	426
320	201	425
321	201	425
322	202	424
323	203	423
324	203	422
325	204	422
326	204	421
327	205	420
328	205	420
329	206	419
330	207	418
331	207	418
332	208	417
333	209	416
334	209	416
335	210	415
336	210	414
337	211	414
338	212	413
339	212	412
340	213	412
341	213	411
342	214	410
343	214	409
344	215	409
345	216	408
346	216	407
347	217	407
348	217	406
349	218	405
350	219	405
351	219	404
352	220	403
353	220	403
354	221	402
355	222	401
356	222	401
357	223	400
358	224	400
359	224	399
360	225	399
361	226	398
362	226	397
363	227	397
364	227	396
365	228	395
366	229	395
367	229	394
368	230	393
369	231	393
370	231	392
371	232	392
372	232	391
373	233	390
374	233	389
375	234	389
376	235	388
377	235	387
378	236	387
379	236	386
380	237	386
381	238	385
382	238	384
383	239	383
384	239	383
385	240	382
386	241	381
387	241	381
388	242	380
389	242	379
390	243	379
391	244	378
392	244	377
393	245	377
394	245	376
395	246	375
396	246	375
397	247	374
398	248	373
399	248	373
400	249	372
401	249	371
402	250	371
403	251	370
404	251	369
405	252	369
406	253	368
407	253	368
408	254	367
409	255	367
410	255	366
411	256	365
412	257	365
413	257	364
414	258	364
